,name,mean,std,cat,mean_norm,std_norm,slope
40,Florin Alin ANA.csv,6.6,2.5099800796022267,MEN VISUAL IMPAIRMENT B2,0.7828571428571429,0.19096959903372587,-2.5568587146932594e-18
41,Frances BROWN.csv,1.1428571428571428,0.37796447300922725,WOMEN NEUROLOGICAL PHYSICAL DISABILITY B,0.6238095238095237,0.36245780633842245,8.171620740361806e-18
42,Francisco Javier AGUILAR AMOEDO.csv,2.111111111111111,0.9002541398626664,MEN B1,0.49165063331729997,0.28145508369597166,-1.484195273667458e-18
43,Frederik LEYS.csv,3.5555555555555554,1.542428269748795,MEN AL2,0.3175529717196383,0.14055363313839297,-3.038327317444779e-19
44,Fumiya HAMANOUE.csv,2.4285714285714284,1.618347187425374,MEN B2,0.28170242455956745,0.10438249336495227,-6.285691127903275e-19
45,Gabriele SCORSOLINI.csv,4.6,2.8809720581775866,MEN VISUAL IMPAIRMENT B1,0.6238383838383839,0.22079500363283022,-2.791144159547895e-18
46,Gian Matteo RAMINI.csv,5.785714285714286,2.5773740789526736,MEN RP1,0.6060699279711885,0.1938190925794976,-1.4835978932844282e-18
47,Giulia POGGIOLI.csv,2.5714285714285716,0.9759000729485332,WOMEN VISUAL IMPAIRMENT B2,0.5785714285714285,0.30531014675946444,5.600026102461291e-19
48,Giulio CEVENINI.csv,3.4166666666666665,1.9752253419585197,MEN B2,0.5762896825396826,0.2841481509705688,-4.681604494557441e-19
49,Gregor SELAK.csv,2.75,0.8660254037844386,MEN RP3,0.35932088744588747,0.12763449058292473,-3.220819508640751e-19
50,Guillermo PELEGRÍN GÓMEZ.csv,3.4444444444444446,1.4240006242195886,MEN B2,0.5756478089811422,0.1941351419577632,-1.376294189042622e-18
51,Günther GRAUSAM.csv,5.583333333333333,3.0883456393154556,MEN AL-2,0.7512506012506014,0.19568391592475506,-2.793876949109755e-19
52,Hannah BALDWIN.csv,1.25,0.4629100498862757,WOMEN RP2,0.36763392857142857,0.330821123811758,-1.0292912423111075e-17
53,Hannah MCFADDEN.csv,3.142857142857143,1.0690449676496976,WOMEN AL2,0.4617913832199546,0.19592952938357436,3.725946796833654e-18
54,Hannah ZOOK.csv,6.714285714285714,1.6035674514745462,WOMEN RP1,0.7345238095238095,0.14083686845275661,-5.161988377735594e-18
55,Hassan MIRZAHOSSEINI.csv,8.0,1.5811388300841898,MEN AL-2,0.613968253968254,0.1825652156055626,-2.292408317401484e-18
56,Hideyuki OUCHI.csv,4.8,3.5637059362410923,MEN AL1,0.6204761904761905,0.22323634811603016,1.0939416067677315e-18
57,Iben Kongsvik PAULSEN.csv,4.333333333333333,1.505545305418162,WOMEN B3,0.638888888888889,0.24486410070806763,-5.029530947573203e-19
58,Ionela GRECU.csv,3.2857142857142856,1.889822365046136,WOMEN B3,0.5360544217687074,0.3487111258671437,-8.465142282107928e-18
59,Isabella WALSH.csv,4.583333333333333,1.9752253419585195,WOMEN AU2,0.8591600529100528,0.1718575496157156,-2.1055933245175595e-18
60,Isak RIPMAN.csv,2.6,0.5477225575051661,MEN AU2,0.3869264069264069,0.08747074354209126,1.9075790340768363e-18
61,Ismael Ewan SÁNCHEZ MCILROY.csv,6.0,4.371625682868,MEN RP1,0.8589832144979205,0.1281118921820019,-1.39057032373543e-19
62,Iván GERMÁN PASCUAL.csv,4.25,1.9598237397554634,MEN AL2,0.42634980759980756,0.1998544315177744,-4.431345523741394e-19
63,Iván MUÑOZ ESCOLAR.csv,2.6,1.3416407864998738,MEN RP2,0.22884004884004883,0.1301236302314586,-2.1552249575809516e-18
64,Jacqueline FRITZ.csv,6.0,2.1213203435596424,WOMEN AL2,0.7793209876543209,0.1824743719908922,2.1657945328457557e-18
65,James RUDGE.csv,6.833333333333333,2.9268868558020253,MEN AU2,0.8368055555555555,0.17893234030607047,1.862034300930624e-18
66,Jamie BARENDRECHT.csv,1.6,0.8944271909999159,MEN RP3,0.24238095238095236,0.10952898538494629,-5.827004014044129e-19
67,Jared LENAHAN.csv,5.0,2.5298221281347035,MEN RP3,0.6484126984126984,0.16455579364296588,1.969053814122446e-18
68,Jasmin PLANK.csv,3.1333333333333333,2.099886618254378,WOMEN RP3,0.4985449735449735,0.34584799863874516,-3.3208165019352223e-18
69,Jeremy RITCHIE.csv,11.0,3.6742346141747673,MEN AL2,1.0074999999999998,0.05836308764964379,1.8145471047297177e-19
70,Jesse DUFTON.csv,4.2,1.6431676725154984,MEN B1,0.5361616161616162,0.19048828616105257,-2.9570356469289822e-18
71,Joanna NEWTON.csv,4.571428571428571,1.9023794624226837,WOMEN AL2,0.604875283446712,0.21134578324741154,-1.0244190569653701e-18
72,John CHURCHER.csv,3.8,1.61245154965971,MEN VISUAL IMPAIRMENT B2,0.7961904761904762,0.21266355012628788,-2.7730577135793633e-18
73,Josh SENIOR.csv,10.285714285714286,3.7289089429432174,MEN AL-2,0.8572736787022501,0.08719120353325534,-1.8999473551131925e-18
74,Juan Antonio BELLIDO RAMOS.csv,4.875,1.7268882005337975,MEN RP3,0.6378505552418596,0.20770824208509903,3.497225724855458e-18
75,Juan Pipo GIL BLANCO.csv,4.0,1.2792042981336627,MEN RP3,0.5936327561327562,0.19267572074814326,5.2289687423047605e-21
76,Julien GASC.csv,2.4166666666666665,1.5050420310248862,MEN AL2,0.21836381211381214,0.11861834358144935,7.570251826035162e-20
77,Kevin BARTKE.csv,1.75,0.8660254037844386,MEN AU2,0.3300668081918082,0.23436079324396766,-1.8789088164296125e-18
78,Koichiro KOBAYASHI.csv,1.625,1.407885953173359,MEN B1,0.2462346681096681,0.1734029575229042,-3.0871985504667953e-19
79,Korbinian FRANCK.csv,2.5625,1.5903353943953669,MEN RP1,0.37606195887445887,0.28385778855160715,-2.6972140908212485e-18
80,Lindsay PURCELL.csv,8.4,2.9664793948382653,WOMEN RP3,0.8195360195360195,0.06233477312519071,-1.7284890351559674e-18
81,Liviu - Nicolae MATEI.csv,7.2,1.4832396974191326,MEN RP3,1.07,0.2631011634756149,8.241184073801006e-18
82,Lorenzo MAJOR.csv,6.111111111111111,6.584915421712804,MEN RP1,0.8664596273291926,0.21260820572504396,6.808258827928808e-19
83,Louis Gabriel PEREZ.csv,5.8,4.08656334834051,MEN RP1,0.7254244306418219,0.2271484043555194,-9.431537662115043e-19
84,Lucia CAPOVILLA.csv,2.7333333333333334,1.2798809468443688,WOMEN AU2,0.460026455026455,0.197057530041388,-7.55170226695611e-19
85,Lucie JARRIGE.csv,1.2,0.5606119105813882,WOMEN AL2,0.2128571428571429,0.1382043219957023,-9.901240660465863e-19
86,Manca SMREKAR.csv,5.0,2.0,WOMEN AU3,0.5186638758067329,0.1991956803282674,-4.0368149401352144e-18
87,Manikandan KUMAR.csv,3.25,2.211629342323457,MEN RP2,0.4982024718437761,0.3381107311951906,-8.253258062429797e-19
88,Marina DIAS.csv,1.8,1.0954451150103324,WOMEN RP3,0.17936507936507934,0.10172981075659898,2.2303077260225925e-18
89,Mario PERSING.csv,6.777777777777778,2.333333333333333,MEN RP1,0.6684863339275103,0.20674709856478493,-2.959033805591573e-18
90,Markus PÖSENDORFER.csv,2.75,1.164964745021435,MEN RP1,0.3803503787878788,0.12124567269346559,-3.0345250767844904e-18
91,Marta PECHE SALINERO.csv,4.1,3.178049716414141,WOMEN RP1,0.4720833333333333,0.21898730514533213,-4.6925362280295704e-18
92,Martha EVANS.csv,3.1666666666666665,1.1690451944500122,WOMEN RP3,0.3145095645095645,0.11575801013448453,-1.5021486035712518e-18
93,Martin HEALD.csv,7.555555555555555,2.6034165586355518,MEN AL-2,0.6876136209469543,0.16055032192436103,-3.613565423109574e-18
94,Martina PELLANDRA.csv,2.857142857142857,1.9518001458970664,WOMEN B3,0.673469387755102,0.24333686113767924,5.89696318240162e-19
95,Masako WATANABE.csv,7.4,2.701851217221259,WOMEN AL2,0.8734126984126984,0.12895604337800048,-2.719332044178618e-18
96,Matan BERMAN.csv,6.6,2.6749870196985173,MEN AL-2,0.6793401043401043,0.1256026404315492,-9.631613292796424e-19
97,Matej ARH.csv,8.0,1.5811388300841898,MEN RP2,0.6682576682576683,0.08348244093326705,3.1111878816366446e-19
98,Mathieu BARBE.csv,1.6666666666666667,0.816496580927726,MEN VISUAL IMPAIRMENT B2,0.4226190476190476,0.16002940489434744,-3.3388252727324686e-18
99,Mathieu BESNARD.csv,1.3529411764705883,0.6063390625908325,MEN RP3,0.19827190428213445,0.10431780114181186,-3.365495965286055e-19
100,Matteo ALBERGHINI.csv,6.8,2.280350850198276,MEN NEUROLOGICAL PHYSICAL DISABILITY A,0.7447543760587239,0.22329871169045207,4.891506965644896e-18
101,Matteo STEFANI.csv,1.7142857142857142,0.8254203058555569,MEN VISUAL IMPAIRMENT B1,0.3621366728509586,0.2454542476082619,-6.548599402776483e-19
102,Matthew LYNCH.csv,6.125,1.8850918886280925,MEN AU2,0.7426339285714285,0.10430866778853017,1.2853692324791868e-18
103,Matthew PHILLIPS.csv,1.25,0.4629100498862757,MEN AU2,0.3706597222222222,0.327809251162482,-4.3539907105727924e-18
104,Maureen BECK.csv,2.090909090909091,0.8312094145936334,WOMEN AU2,0.37377344877344876,0.20995179761984642,6.276567982315184e-20
105,Melinda VIGH.csv,2.111111111111111,1.0540925533894598,WOMEN AU2,0.41719576719576723,0.1259981563331183,3.0539696490515716e-19
106,Melissa RUIZ.csv,4.0,3.5355339059327378,WOMEN RP1,0.3891975308641975,0.268581968876332,-5.73382043025653e-18
107,Michael CLEVERDON.csv,2.6,0.8944271909999159,MEN RP3,0.3057142857142857,0.10169482157265372,-2.13359111791692e-18
108,Michael FÜCHSLE.csv,6.0,4.264014327112209,MEN RP2,0.8060515873015871,0.2008263812306533,1.1190356479455214e-18
109,Mor Michael SAPIR.csv,2.176470588235294,1.629236558853834,MEN AU3,0.2832582450229509,0.1964158176830422,-9.593531470817365e-19
110,Nadia BREDICE.csv,4.5,2.068278940998476,WOMEN B3,0.5673809523809524,0.17616205261936743,-3.2455063645161144e-18
111,Nicholas PERRETH.csv,8.625,2.1998376563477846,MEN AL2,0.7317144660894661,0.15791258571020855,-1.7022661405505398e-18
112,Nicolas MOINEAU.csv,1.6363636363636365,0.9244162777371753,MEN VISUAL IMPAIRMENT B1,0.43607503607503606,0.24346623578287843,-4.787060146187915e-19
113,Nils HELSPER.csv,4.666666666666667,4.09994192757944,MEN RP2,0.5280752580752581,0.2678920319857659,1.3151577309279953e-18
114,Nimrod MUGZACH.csv,3.1666666666666665,1.7224014243685084,MEN RP2,0.4583333333333333,0.18004629034408529,-4.528372642664141e-18
115,Omar AL KHATIB.csv,8.916666666666666,2.906367096044424,MEN AL2,0.7652281746031746,0.1198250398442634,-6.118985555344398e-19
116,Oriane MORENO.csv,1.6666666666666667,0.8660254037844386,WOMEN RP3,0.6371252204585537,0.30686120185863386,-2.8218857908860148e-18
117,Pablo BLANCO BARRIOS.csv,4.0,4.636809247747852,MEN AU-2 (FOREARM AMPUTEE),0.5432367149758455,0.27690790072496774,-7.629672000608662e-19
118,Paula DE LA CALLE PIZARRO.csv,2.0,1.224744871391589,WOMEN AU-2 (FOREARM AMPUTEE),0.6333333333333333,0.2472066162365221,-2.969027485729745e-18
119,Pavitra VANDENHOVEN.csv,3.0,2.29128784747792,WOMEN RP1,0.4096119929453263,0.30511575348197234,-4.054292185665072e-18
120,Peter KUNZE.csv,6.142857142857143,2.5448360411214073,MEN RP2,0.7397828362114076,0.26940022252575685,-1.1512637665995688e-18
121,Philipp HROZEK.csv,3.7777777777777777,1.481365736219265,MEN RP2,0.3174264007597341,0.12442614691616907,-3.3285589568639066e-19
122,Phillip MITCHELL.csv,4.333333333333333,2.1213203435596424,MEN AL-2,0.653968253968254,0.2810708991342506,-5.984579188675537e-18
123,Rachel MAIA.csv,3.8333333333333335,0.983192080250175,WOMEN AL2,0.49259259259259264,0.11688691731895925,2.7047514160116896e-19
124,Raul SIMON FRANCO.csv,3.7058823529411766,2.0237559722689187,MEN B2,0.5839959060547295,0.268468000901089,-1.8617917895399417e-18
125,Razvan NEDU.csv,3.75,1.8073922282301278,MEN B1,0.5690724206349207,0.21619094569627517,-8.569204300735249e-19
126,Reanne RACKTOO.csv,3.1666666666666665,3.060501048303475,WOMEN VISUAL IMPAIRMENT B2,0.8666666666666667,0.19663841605003501,2.4417126795027975e-18
127,Renske NUGTER.csv,6.142857142857143,3.8047589248453675,WOMEN RP2,0.8940476190476191,0.1470948835340807,-4.3352121520845893e-19
128,Richard SLOCOCK.csv,3.375,1.7677669529663689,MEN B2,0.4458104395604396,0.19382136927668506,-1.5390420428503795e-18
129,Romain PAGNOUX.csv,1.0,0.0,MEN RP3,0.0929040404040404,0.018443075972334272,-8.401577952944939e-20
130,Ronald DICKSON.csv,4.0,2.0,MEN AL2,0.46020202020202017,0.20219386475104778,1.978195444946011e-19
131,Rosalie SCHAUPERT.csv,2.3333333333333335,1.2110601416389968,WOMEN RP3,0.2714183964183964,0.16749142013075574,7.889860888363308e-18
132,Roxane HEILI.csv,4.4375,2.365551380404436,WOMEN B3,0.7120535714285714,0.2751464514179515,-5.193591912500399e-19
133,Roy LEMKE.csv,6.0,1.2649110640673518,MEN RP1,0.8322510822510822,0.2744662145494515,-6.616057533979459e-18
134,Sandra POLLAK.csv,6.0,4.123105625617661,WOMEN RP3,0.6133786848072562,0.18073145601823565,2.2740646971710983e-18
135,Sarah LARCOMBE.csv,1.8333333333333333,0.408248290463863,WOMEN AL2,0.2568783068783069,0.04734488980602805,1.7240308031050966e-18
136,Sebastian DEPKE.csv,6.166666666666667,3.3529724488018453,MEN RP1,0.6555473325693913,0.2469661865182841,-4.960222162679195e-19
137,Sebastian MENZE.csv,4.833333333333333,1.7224014243685084,MEN AL2,0.40441919191919196,0.10228161203457735,-2.2812058479793175e-18
