,event,rank,para_class,date,name,age,country,age_at_event
21840,"IFSC Europe - Continental Cup (L,S) - Arco (ITA) 2022",11,WOMEN,2022-06-05,Mattea PÖTZI,23,AUT,22
21841,"IFSC Europe - Continental Cup (L,S) - Laval (FRA) 2021",6,WOMEN,2021-10-24,Mattea PÖTZI,23,AUT,21
21842,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,24,WOMEN,2021-07-18,Mattea PÖTZI,23,AUT,21
21843,IFSC - Climbing World Cup (L) - Chamonix (FRA) 2021,42,WOMEN,2021-07-13,Mattea PÖTZI,23,AUT,21
21844,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,37,WOMEN,2020-08-22,Mattea PÖTZI,23,AUT,20
21845,"European Youth Championships (L,S) - Voronezh (RUS) 2019",9,JUNIORS FEMALE,2019-10-20,Mattea PÖTZI,23,AUT,19
21846,IFSC Youth World Championships - Arco (ITA) 2019,8,JUNIORS FEMALE,2019-08-31,Mattea PÖTZI,23,AUT,19
21847,"European Youth Cup (S,L) - Imst (AUT) 2019",5,JUNIORS FEMALE,2019-08-04,Mattea PÖTZI,23,AUT,19
21848,European Youth Cup (L) - St. Pierre Faucigny (FRA) 2019,5,JUNIORS FEMALE,2019-06-30,Mattea PÖTZI,23,AUT,19
21849,IFSC Youth World Championships - Moscow (RUS) 2018,19,JUNIORS FEMALE,2018-08-16,Mattea PÖTZI,23,AUT,18
21850,European Youth Cup (L) - Bruneck (ITA) 2018,9,JUNIORS FEMALE,2018-06-17,Mattea PÖTZI,23,AUT,18
21851,IFSC Youth World Championships - Innsbruck (AUT) - 2017,39,YOUTH A MALE,2017-09-10,Matteo BASCHIERI,22,ITA,16
21852,European Youth Cup (L) - Mitterdorf (AUT) 2017,32,YOUTH A MALE,2017-08-13,Matteo BASCHIERI,22,ITA,16
21853,European Youth Cup (L) - Dornbirn (AUT) 2017,17,YOUTH A MALE,2017-06-11,Matteo BASCHIERI,22,ITA,16
21854,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",17,YOUTH B MALE,2016-09-04,Matteo BASCHIERI,22,ITA,15
21855,European Youth Cup (L) - Imst (AUT) 2016,12,YOUTH B MALE,2016-05-29,Matteo BASCHIERI,22,ITA,15
21856,European Youth Cup (L) - Mitterdorf (AUT) 2015,16,YOUTH B MALE,2015-08-09,Matteo BASCHIERI,22,ITA,14
21857,European Youth Cup (L) - Imst (AUT) 2015,39,YOUTH B MALE,2015-05-31,Matteo BASCHIERI,22,ITA,14
21858,European Youth Cup (L) - Dornbirn (AUT) 2015,26,YOUTH B MALE,2015-05-10,Matteo BASCHIERI,22,ITA,14
21859,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",69,MEN,2018-07-28,Matteo MANZONI,23,ITA,18
21860,European Youth Cup (L) - Bruneck (ITA) 2018,21,JUNIORS MALE,2018-06-17,Matteo MANZONI,23,ITA,18
21861,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,5,JUNIORS MALE,2023-06-25,Matteo MAROBIN,19,FRA,19
21862,"IFSC Europe - Continental Cup (L,S) - Laval (FRA) 2021",11,MEN,2021-10-24,Matteo MAROBIN,19,FRA,17
21863,IFSC Europe - Continental Youth Cup (L) - Augsburg (GER) 2020,17,YOUTH A MALE,2020-09-18,Matteo MAROBIN,19,FRA,16
21864,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",13,YOUTH B MALE,2022-09-01,Matteo REUSA,15,ITA,14
21865,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",15,YOUTH B MALE,2022-07-10,Matteo REUSA,15,ITA,14
21866,IFSC Europe - Continental Youth Cup (L) - Dornbirn (AUT) 2022,4,YOUTH B MALE,2022-07-03,Matteo REUSA,15,ITA,14
21867,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,2,YOUTH B MALE,2022-06-26,Matteo REUSA,15,ITA,14
21868,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",6,YOUTH B MALE,2022-05-29,Matteo REUSA,15,ITA,14
21869,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,4,YOUTH A MALE,2023-09-16,Matteo SOULE,16,FRA,16
21870,IFSC Youth World Championships Seoul 2023,15,YOUTH A MALE,2023-08-27,Matteo SOULE,16,FRA,16
21871,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,4,YOUTH A MALE,2023-06-25,Matteo SOULE,16,FRA,16
21872,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",13,YOUTH B MALE,2021-07-04,Matteo SOULE,16,FRA,14
21873,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),11,YOUTH B MALE,2021-06-20,Matteo SOULE,16,FRA,14
21874,IFSC Europe - Continental Youth Cup (L) - Augsburg (GER) 2020,19,YOUTH B MALE,2020-09-18,Matteo SOULE,16,FRA,13
21875,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,2,MEN B1,2018-09-16,Matteo STEFANI,30,ITA,25
21876,Paraclimbing Cup (L) - Briançon (FRA) 2018,1,MEN B1,2018-07-18,Matteo STEFANI,30,ITA,25
21877,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,1,MEN B2,2017-09-24,Matteo STEFANI,30,ITA,24
21878,Paraclimbing Cup (L) - Briançon (FRA) 2017,2,MEN B2,2017-07-26,Matteo STEFANI,30,ITA,24
21879,IFSC Paraclimbing World Championships - Paris (FRA) 2016,3,MEN B1,2016-09-18,Matteo STEFANI,30,ITA,23
21880,Paraclimbing Cup (L) - Campitello di Fassa (ITA) 2016,2,MEN B1,2016-06-25,Matteo STEFANI,30,ITA,23
21881,Paraclimbing Cup (L) - Chamonix (FRA) 2015,1,MEN B2,2015-07-11,Matteo STEFANI,30,ITA,22
21882,Paraclimbing Cup (L) - Imst (AUT) 2015,1,MEN B1,2015-06-28,Matteo STEFANI,30,ITA,22
21883,IFSC Paraclimbing World Championship - Gijon (ESP) 2014,3,MEN B1,2014-09-14,Matteo STEFANI,30,ITA,21
21884,Paraclimbing Cup Arco 2014 - Arco (ITA) 2014,1,MEN B1,2014-08-29,Matteo STEFANI,30,ITA,21
21885,Paraclimbing Cup Arco 2013 - Arco (ITA) 2013,1,MEN B1,2013-09-06,Matteo STEFANI,30,ITA,20
21886,European Paraclimbing Lead Championship - Chamonix (FRA) 2013,2,MEN B1,2013-07-13,Matteo STEFANI,30,ITA,20
21887,IFSC Paraclimbing World Championship - Paris (FRA) 2012,3,MEN B1,2012-09-16,Matteo STEFANI,30,ITA,19
21888,IFSC Paraclimbing World Championship LEAD - Arco (ITA) 2011,1,MEN B1,2011-07-18,Matteo STEFANI,30,ITA,18
21889,European Youth Cup (L) - Bruneck (ITA) 2018,32,YOUTH A MALE,2018-06-17,Matteo ZURLONI,21,ITA,16
21890,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2022",105,MEN,2022-06-26,Matthaios VALSAMIDIS,24,GRE,23
21891,"FISU University Championships (B,S,L) - Innsbruck (AUT) 2022",25,MEN,2022-06-17,Matthaios VALSAMIDIS,24,GRE,23
21892,"IFSC - Climbing World Cup (B,L) - Innsbruck (AUT) 2021",83,MEN,2021-06-26,Matthaios VALSAMIDIS,24,GRE,22
21893,"European Championship (L,S) - Edinburgh (GBR) 2019",39,MEN,2019-10-06,Matthaios VALSAMIDIS,24,GRE,20
21894,IFSC Climbing World Championships - Innsbruck (AUT) 2018,119,MEN,2018-09-16,Matthaios VALSAMIDIS,24,GRE,19
21895,European Youth Cup (L) - Munich (GER) 2018,29,JUNIORS MALE,2018-07-08,Matthaios VALSAMIDIS,24,GRE,19
21896,World University Championships - Bratislava (SVK) 2018,43,MEN,2018-06-23,Matthaios VALSAMIDIS,24,GRE,19
21897,"European Youth Championship (L, S) - Imst 2018",36,JUNIORS MALE,2018-05-27,Matthaios VALSAMIDIS,24,GRE,19
21898,IFSC Youth World Championships - Innsbruck (AUT) - 2017,61,JUNIORS MALE,2017-09-10,Matthaios VALSAMIDIS,24,GRE,18
21899,European Youth Cup (L) - Mitterdorf (AUT) 2017,27,JUNIORS MALE,2017-08-13,Matthaios VALSAMIDIS,24,GRE,18
21900,IFSC World Youth Championships - Arco (ITA) - 2015,63,YOUTH A MALE,2015-09-06,Matthaios VALSAMIDIS,24,GRE,16
21901,"Oceania Continental Championships &amp; Oceania Youth Championships (L,S,B) - Noumea (FRA) 2017",8,YOUTH B MALE,2017-10-15,Matthew AUSTIN,20,AUS,14
21902,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",36,JUNIORS MALE,2022-09-01,Matthew GRUNEWALD,20,RSA,19
21903,"IFSC Africa - Continental Championships (B,S,L) - Johannesburg (RSA) 2021",2,MEN,2021-12-18,Matthew GRUNEWALD,20,RSA,18
21904,IFSC Youth World Championships - Arco (ITA) 2019,66,YOUTH A MALE,2019-08-31,Matthew GRUNEWALD,20,RSA,16
21905,IFSC Youth World Championships - Arco (ITA) 2019,62,YOUTH A MALE,2019-08-31,Matthew JONES,21,NZL,17
21906,IFSC World Youth Championships - Guangzhou (CHN) - 2016,49,YOUTH B MALE,2016-11-13,Matthew JONES,21,NZL,14
21907,Oceania Continental Championship - Sidney (AUS) 2016,5,YOUTH B MALE,2016-06-19,Matthew JONES,21,NZL,14
21908,IFSC Paraclimbing World Championships Bern 2023,7,MEN AU2,2023-08-10,Matthew LYNCH,34,USA,34
21909,IFSC Paraclimbing World Cup Villars 2023,4,MEN AU2,2023-06-24,Matthew LYNCH,34,USA,34
21910,IFSC Paraclimbing World Cup Innsbruck 2023,5,MEN AU2,2023-06-13,Matthew LYNCH,34,USA,34
21911,IFSC Paraclimbing World Cup Salt Lake City 2023,6,MEN RP2,2023-05-18,Matthew LYNCH,34,USA,34
21912,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2022,5,MEN AU2,2022-06-22,Matthew LYNCH,34,USA,33
21913,IFSC - Paraclimbing World Cup (L) - Salt Lake City (USA) 2022,9,MEN RP2,2022-05-26,Matthew LYNCH,34,USA,33
21914,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,5,MEN RP2,2021-10-11,Matthew LYNCH,34,USA,32
21915,IFSC - Paraclimbing World Championships (L) - Moscow 2021,6,MEN AU2,2021-09-17,Matthew LYNCH,34,USA,32
21916,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,9,MEN AU2,2019-07-17,Matthew LYNCH,34,USA,30
21917,IFSC - Paraclimbing World Championships (L) - Moscow 2021,1,MEN AU2,2021-09-17,Matthew PHILLIPS,22,GBR,20
21918,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,1,MEN AU2,2019-07-17,Matthew PHILLIPS,22,GBR,18
21919,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,1,MEN AU2,2018-09-16,Matthew PHILLIPS,22,GBR,17
21920,Paraclimbing Cup (L) - Briançon (FRA) 2018,1,MEN AU2,2018-07-18,Matthew PHILLIPS,22,GBR,17
21921,Paraclimbing Cup (L) - Sheffield (GBR) 2017,1,MEN AU2,2017-10-08,Matthew PHILLIPS,22,GBR,16
21922,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,2,MEN AU2,2017-09-24,Matthew PHILLIPS,22,GBR,16
21923,Paraclimbing Cup (L) - Sheffield (GBR) 2016,1,MEN AU2,2016-09-25,Matthew PHILLIPS,22,GBR,15
21924,Paraclimbing Master (L) - Imst (AUT) 2016,2,MEN AU2,2016-07-17,Matthew PHILLIPS,22,GBR,15
21925,IFSC Youth World Championships Seoul 2023,8,JUNIORS MALE,2023-08-27,Matthew RODRIGUEZ,18,CAN,18
21926,IFSC Paraclimbing World Championships Bern 2023,10,MEN AU3,2023-08-10,Matthew STYLES-WEST,54,GBR,54
21927,IFSC Climbing World Championships - Paris (FRA) 2016,81,MEN,2016-09-18,Matthew WELLINGTON,28,CAN,21
21928,IFSC Climbing Worldcup (L) - Imst (AUT) 2016,65,MEN,2016-08-20,Matthew WELLINGTON,28,CAN,21
21929,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,70,MEN,2016-07-23,Matthew WELLINGTON,28,CAN,21
21930,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",63,MEN,2016-07-16,Matthew WELLINGTON,28,CAN,21
21931,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",76,MEN,2016-07-12,Matthew WELLINGTON,28,CAN,21
21932,IFSC Climbing Worldcup (L) - Imst (AUT) 2014,55,MEN,2014-08-02,Matthew WELLINGTON,28,CAN,19
21933,IFSC Climbing Worldcup (L) - Briançon (FRA) 2014,74,MEN,2014-07-20,Matthew WELLINGTON,28,CAN,19
21934,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",76,MEN,2014-07-12,Matthew WELLINGTON,28,CAN,19
21935,"PanAmerican Youth Championship (L,S, B) - Santiago (CHI) 2012",18,YOUTH A MALE,2012-11-25,Matthew WELLINGTON,28,CAN,17
21936,IFSC Paraclimbing World Championships Bern 2023,4,MEN RP3,2023-08-10,Matthias BÄRTSCHI,57,SUI,57
21937,IFSC Paraclimbing World Cup Villars 2023,4,MEN RP3,2023-06-24,Matthias BÄRTSCHI,57,SUI,57
21938,IFSC Paraclimbing World Cup Innsbruck 2023,3,MEN RP3,2023-06-13,Matthias BÄRTSCHI,57,SUI,57
21939,"European Championship (L,S) - Campitello di Fassa (ITA) 2017",41,MEN,2017-07-01,Matthias ERBER,25,AUT,19
21940,IFSC World Youth Championships - Guangzhou (CHN) - 2016,35,JUNIORS MALE,2016-11-13,Matthias ERBER,25,AUT,18
21941,"European Youth Championships (L,S) - Mitterdorf (AUT) 2016",14,JUNIORS MALE,2016-09-04,Matthias ERBER,25,AUT,18
21942,IFSC World Youth Championships - Arco (ITA) - 2015,35,JUNIORS MALE,2015-09-06,Matthias ERBER,25,AUT,17
21943,"European Championship (L,S) - Edinburgh (GBR) 2019",35,MEN,2019-10-06,Matthias SCHIESTL,34,AUT,30
21944,IFSC Climbing Worldcup (L) - Kranj (SLO) 2019,40,MEN,2019-09-29,Matthias SCHIESTL,34,AUT,30
21945,IFSC Climbing Worldcup (L) - Briançon (FRA) 2019,19,MEN,2019-07-20,Matthias SCHIESTL,34,AUT,30
21946,"IFSC Climbing Worldcup (L, S) - Chamonix (FRA) 2019",50,MEN,2019-07-13,Matthias SCHIESTL,34,AUT,30
21947,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2019",57,MEN,2019-07-06,Matthias SCHIESTL,34,AUT,30
21948,IFSC Climbing Worldcup (L) - Kranj (SLO) 2018,32,MEN,2018-09-30,Matthias SCHIESTL,34,AUT,29
21949,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2018",43,MEN,2018-07-28,Matthias SCHIESTL,34,AUT,29
21950,IFSC Climbing Worldcup (L) - Briançon (FRA) 2018,49,MEN,2018-07-21,Matthias SCHIESTL,34,AUT,29
21951,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",48,MEN,2017-08-26,Matthias SCHIESTL,34,AUT,28
21952,IFSC Climbing Worldcup (L) - Briançon (FRA) 2017,23,MEN,2017-07-29,Matthias SCHIESTL,34,AUT,28
21953,IFSC Climbing Worldcup (L) - Chamonix (FRA) 2017,37,MEN,2017-07-13,Matthias SCHIESTL,34,AUT,28
21954,"IFSC Climbing Worldcup (L,S) - Villars (SUI) 2017",46,MEN,2017-07-08,Matthias SCHIESTL,34,AUT,28
21955,IFSC Climbing Worldcup (L) - Imst (AUT) 2016,45,MEN,2016-08-20,Matthias SCHIESTL,34,AUT,27
21956,IFSC Climbing Worldcup (L) - Briançon (FRA) 2016,61,MEN,2016-07-23,Matthias SCHIESTL,34,AUT,27
21957,"IFSC Climbing Worldcup (L, S) - Villars (SUI) 2016",49,MEN,2016-07-16,Matthias SCHIESTL,34,AUT,27
21958,"IFSC Climbing Worldcup (L,S) -Chamonix (FRA) 2016",41,MEN,2016-07-12,Matthias SCHIESTL,34,AUT,27
21959,IFSC Climbing Worldcup (L) - Kranj (SLO) 2015,55,MEN,2015-11-15,Matthias SCHIESTL,34,AUT,26
21960,IFSC Climbing Worldcup (L) - Puurs (BEL) 2015,44,MEN,2015-09-27,Matthias SCHIESTL,34,AUT,26
21961,IFSC Climbing Worldcup (L) - Imst (AUT) 2015,26,MEN,2015-08-01,Matthias SCHIESTL,34,AUT,26
21962,IFSC Climbing Worldcup (L) - Briançon (FRA) 2015,40,MEN,2015-07-18,Matthias SCHIESTL,34,AUT,26
21963,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2015",27,MEN,2015-07-12,Matthias SCHIESTL,34,AUT,26
21964,"European Championship (L,S) - Chamonix (FRA) 2015",18,MEN,2015-07-12,Matthias SCHIESTL,34,AUT,26
21965,"Intl. Event Open for Rockmaster (L, B) - Arco (ITA) 2014",20,MEN,2014-08-29,Matthias SCHIESTL,34,AUT,25
21966,IFSC Climbing Worldcup (L) - Imst (AUT) 2014,50,MEN,2014-08-02,Matthias SCHIESTL,34,AUT,25
21967,"IFSC Climbing Worldcup (L,S) - Chamonix (FRA) 2014",41,MEN,2014-07-12,Matthias SCHIESTL,34,AUT,25
21968,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",31,YOUTH B MALE,2023-07-02,Matthäus KATHAN,15,AUT,15
21969,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,17,YOUTH B MALE,2023-06-18,Matthäus KATHAN,15,AUT,15
21970,IFSC Europe - Continental Youth Cup (L) - Dornbirn (AUT) 2022,16,YOUTH B MALE,2022-07-03,Matthäus KATHAN,15,AUT,14
21971,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",20,YOUTH B MALE,2022-05-29,Matthäus KATHAN,15,AUT,14
21972,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",35,YOUTH A FEMALE,2023-07-02,Matti DEBELLE,16,BEL,16
21973,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,40,YOUTH A FEMALE,2023-06-25,Matti DEBELLE,16,BEL,16
21974,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,22,YOUTH A FEMALE,2023-06-18,Matti DEBELLE,16,BEL,16
21975,IFSC Europe - Continental Youth Cup (L) - Dornbirn (AUT) 2022,20,YOUTH B FEMALE,2022-07-03,Matti DEBELLE,16,BEL,15
21976,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,34,YOUTH B FEMALE,2022-06-26,Matti DEBELLE,16,BEL,15
21977,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",33,YOUTH B FEMALE,2022-05-29,Matti DEBELLE,16,BEL,15
21978,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",21,YOUTH B FEMALE,2021-07-04,Matti DEBELLE,16,BEL,14
21979,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),29,YOUTH B FEMALE,2021-06-20,Matti DEBELLE,16,BEL,14
21980,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",34,YOUTH B FEMALE,2021-06-13,Matti DEBELLE,16,BEL,14
21981,European Youth Cup (L) - Voiron (FRA) 2012,19,YOUTH B MALE,2012-06-09,Mattéo ROUSSEAU,25,FRA,14
21982,IFSC Youth World Championships - Arco (ITA) 2019,54,YOUTH A MALE,2019-08-31,Matus VALEK,20,SVK,16
21983,"European Youth Championship (L, S) - Imst 2018",46,YOUTH A MALE,2018-05-27,Matus VALEK,20,SVK,15
21984,IFSC Youth World Championships - Innsbruck (AUT) - 2017,63,YOUTH B MALE,2017-09-10,Matus VALEK,20,SVK,14
21985,European Youth Cup (L) - Mitterdorf (AUT) 2017,37,YOUTH B MALE,2017-08-13,Matus VALEK,20,SVK,14
21986,European Youth Cup (L) - Imst (AUT) 2017,42,YOUTH B MALE,2017-05-28,Matus VALEK,20,SVK,14
21987,"IFSC Europe - Continental Youth Championships (B,S,L) - Perm (RUS)",27,YOUTH A MALE,2021-05-05,Matvey SIDELNIKOV,19,RUS,17
21988,"European Youth Championships (L,S) - Voronezh (RUS) 2019",5,YOUTH B MALE,2019-10-20,Matvey SIDELNIKOV,19,RUS,15
21989,IFSC Youth World Championships - Arco (ITA) 2019,34,YOUTH B MALE,2019-08-31,Matvey SIDELNIKOV,19,RUS,15
21990,"European Youth Cup (S,L) - Imst (AUT) 2019",53,YOUTH B MALE,2019-08-04,Matvey SIDELNIKOV,19,RUS,15
21991,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",47,JUNIORS MALE,2022-09-01,Matvey YESSIPOV,20,KAZ,19
21992,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",40,JUNIORS MALE,2021-08-31,Matvey YESSIPOV,20,KAZ,18
21993,Asian Youth Championships - Chongqing (CHN) 2018,22,YOUTH B MALE,2018-11-04,Matvey YESSIPOV,20,KAZ,15
21994,IFSC Youth World Championships - Moscow (RUS) 2018,64,YOUTH B MALE,2018-08-16,Matvey YESSIPOV,20,KAZ,15
21995,IFSC Youth World Championships - Innsbruck (AUT) - 2017,87,YOUTH B MALE,2017-09-10,Matvey YESSIPOV,20,KAZ,14
21996,World University Championships - Bratislava (SVK) 2018,31,MEN,2018-06-23,Matías OPAZO,30,CHI,25
21997,European Youth Cup (L) - Munich (GER) 2018,8,JUNIORS FEMALE,2018-07-08,Maurane JELIC,24,FRA,19
21998,European Youth Cup (L) - Uster (SUI) 2018,5,JUNIORS FEMALE,2018-07-01,Maurane JELIC,24,FRA,19
21999,"European Youth Championship (L, S) - Imst 2018",18,JUNIORS FEMALE,2018-05-27,Maurane JELIC,24,FRA,19
22000,"European Youth Cup (L,S) - Voiron (FRA) 2018",4,JUNIORS FEMALE,2018-04-08,Maurane JELIC,24,FRA,19
22001,European Youth Cup (L) - Mitterdorf (AUT) 2017,15,JUNIORS FEMALE,2017-08-13,Maurane JELIC,24,FRA,18
22002,European Youth Cup (L) - Uster (SUI) 2017,12,JUNIORS FEMALE,2017-06-25,Maurane JELIC,24,FRA,18
22003,IFSC Paraclimbing World Championships Bern 2023,3,WOMEN AU2,2023-08-10,Maureen BECK,37,USA,37
22004,IFSC Paraclimbing World Cup Villars 2023,2,WOMEN AU2,2023-06-24,Maureen BECK,37,USA,37
22005,IFSC Paraclimbing World Cup Innsbruck 2023,3,WOMEN AU2,2023-06-13,Maureen BECK,37,USA,37
22006,IFSC Paraclimbing World Cup Salt Lake City 2023,2,WOMEN AU2,2023-05-18,Maureen BECK,37,USA,37
22007,IFSC - Paraclimbing World Cup (L) - Salt Lake City (USA) 2022,2,WOMEN AU2,2022-05-26,Maureen BECK,37,USA,36
22008,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,3,WOMEN AU2,2021-10-11,Maureen BECK,37,USA,35
22009,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,2,WOMEN AU2,2019-07-17,Maureen BECK,37,USA,33
22010,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,3,WOMEN AU2,2018-09-16,Maureen BECK,37,USA,32
22011,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,1,WOMEN RP2,2017-09-24,Maureen BECK,37,USA,31
22012,IFSC Paraclimbing World Championships - Paris (FRA) 2016,1,WOMEN AU2,2016-09-18,Maureen BECK,37,USA,30
22013,Paraclimbing Cup (L) - Sheffield (GBR) 2015,3,WOMEN AU2,2015-10-04,Maureen BECK,37,USA,29
22014,IFSC Paraclimbing World Masters - Gijon (ESP) 2014,1,WOMEN AU2,2014-09-14,Maureen BECK,37,USA,28
22015,European Youth Cup (L) - Mitterdorf (AUT) 2017,41,YOUTH A MALE,2017-08-13,Mauro NAROSKA,22,GER,16
22016,European Youth Cup (L) - Dornbirn (AUT) 2017,37,YOUTH A MALE,2017-06-11,Mauro NAROSKA,22,GER,16
22017,European Youth Cup (L) - Ostermundigen (SUI) 2019,37,YOUTH B MALE,2019-06-23,Mauro THOMMEN,18,SUI,14
22018,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,1,YOUTH A MALE,2023-09-16,Max BERTONE,16,FRA,16
22019,IFSC Youth World Championships Seoul 2023,9,YOUTH A MALE,2023-08-27,Max BERTONE,16,FRA,16
22020,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,1,YOUTH A MALE,2023-06-25,Max BERTONE,16,FRA,16
22021,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,1,YOUTH A MALE,2023-06-18,Max BERTONE,16,FRA,16
22022,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",1,YOUTH B MALE,2022-09-01,Max BERTONE,16,FRA,15
22023,"IFSC Europe - Continental Youth Championship (L,S) - Augsburg (GER) 2022",3,YOUTH B MALE,2022-07-10,Max BERTONE,16,FRA,15
22024,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI) 2022,4,YOUTH B MALE,2022-06-26,Max BERTONE,16,FRA,15
22025,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2022",5,YOUTH B MALE,2022-05-29,Max BERTONE,16,FRA,15
22026,"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",15,YOUTH B MALE,2021-08-31,Max BERTONE,16,FRA,14
22027,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",9,YOUTH B MALE,2021-07-04,Max BERTONE,16,FRA,14
22028,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),9,YOUTH B MALE,2021-06-20,Max BERTONE,16,FRA,14
22029,IFSC Youth World Championships Seoul 2023,36,YOUTH B MALE,2023-08-27,Max BOTICA,15,AUS,15
22030,"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",40,YOUTH B MALE,2022-09-01,Max BOTICA,15,AUS,14
22031,IFSC Europe - Youth Championship - Helsinki (FIN) 2023,19,JUNIORS MALE,2023-09-16,Max DINGER,18,GER,18
22032,IFSC Youth World Championships Seoul 2023,22,JUNIORS MALE,2023-08-27,Max DINGER,18,GER,18
22033,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2023",5,JUNIORS MALE,2023-07-02,Max DINGER,18,GER,18
22034,IFSC Europe - Continental Youth Cup (L) - St. Pierre en Faucigny (FRA) 2023,9,JUNIORS MALE,2023-06-25,Max DINGER,18,GER,18
22035,IFSC Europe - Continental Youth Cup (L) - Niederwangen (SUI) 2023,2,JUNIORS MALE,2023-06-18,Max DINGER,18,GER,18
22036,"IFSC Europe - Continental Youth Cup (L,S) - Puurs (BEL) 2021",13,YOUTH A MALE,2021-07-04,Max DINGER,18,GER,16
22037,IFSC Europe - Continental Youth Cup (L) - Ostermundigen (SUI),14,YOUTH A MALE,2021-06-20,Max DINGER,18,GER,16
22038,"IFSC Europe - Continental Youth Cup (L,S) - Imst (AUT) 2021",17,YOUTH A MALE,2021-06-13,Max DINGER,18,GER,16
22039,"IFSC Climbing Worldcup (L,S) - Arco (ITA) 2017",76,MEN,2017-08-26,Max HAMMER,24,USA,18
22040,IFSC - Climbing World Cup (L) - Briançon (FRA) 2022,75,MEN,2022-07-23,Max KLEESATTEL,25,GER,24
22041,IFSC - Climbing World Cup (L) - Kranj (SLO) 2021,38,MEN,2021-09-04,Max KLEESATTEL,25,GER,23
22042,IFSC - Climbing World Cup (L) - Briançon (FRA) 2021,46,MEN,2021-07-18,Max KLEESATTEL,25,GER,23
22043,IFSC - Climbing World Cup (L) - Briançon (FRA) 2020,35,MEN,2020-08-22,Max KLEESATTEL,25,GER,22
