,name,n_comps,first_comp,last_comp,years_comp,class
296,Nat VOREL,3.0,2022-05-26,2023-08-10,441 days,WOMEN RP3
297,Nathaniel WOOGEN,1.0,2016-09-18,2016-09-18,0 days,MEN RP2
298,Nicholas PERRETH,9.0,2018-07-18,2023-08-10,1849 days,MEN AL2
299,Nicolas MOINEAU,11.0,2012-09-16,2018-07-18,2131 days,MEN B1
300,Nicole DIEHL,4.0,2022-06-22,2023-08-10,414 days,WOMEN RP2
301,Nikita KHAVER,1.0,2021-09-17,2021-09-17,0 days,MEN B1
302,Nikolaj NIEBUHR,1.0,2016-06-25,2016-06-25,0 days,MEN RP2
303,Nils HELSPER,16.0,2015-06-28,2023-08-10,2965 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
304,Nimrod MUGZACH,6.0,2016-07-17,2018-09-16,791 days,MEN RP2
305,Nive PORAT,4.0,2016-07-17,2018-09-16,791 days,MEN RP2
306,Nobuhiro YASURAOKA,2.0,2021-09-17,2023-08-10,692 days,MEN RP3
307,Olivia CONFORTI,4.0,2023-05-18,2023-08-10,84 days,WOMEN RP1
308,Omar AL KHATIB,12.0,2017-07-09,2023-06-24,2176 days,MEN AL2
309,Oriane MORENO,9.0,2013-07-13,2016-09-18,1163 days,WOMEN ARTHRITIS+NEUROLOGICAL PD
310,Oxana OSADCHAYA,1.0,2021-09-17,2021-09-17,0 days,WOMEN B2
311,Pablo BLANCO BARRIOS,5.0,2012-09-16,2018-09-16,2191 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
312,Paula DE LA CALLE PIZARRO,6.0,2011-07-18,2023-08-10,4406 days,WOMEN AU2
313,Pavitra VANDENHOVEN,10.0,2017-09-24,2023-08-10,2146 days,WOMEN RP2
314,Peter KUNZE,7.0,2017-07-09,2023-06-24,2176 days,MEN RP3
315,Peter TRAMM,2.0,2023-06-13,2023-08-10,58 days,MEN AU2
316,Philipp HROZEK,10.0,2018-07-18,2023-08-10,1849 days,MEN RP2
317,Phillip KAMINSKI,3.0,2016-09-18,2018-09-16,728 days,MEN AL2
318,Phillip MITCHELL,9.0,2014-09-14,2017-09-24,1106 days,MEN AL2
319,Phoebe BARKAN,1.0,2023-05-18,2023-05-18,0 days,WOMEN B3
320,Phuong Anh HUA,1.0,2022-05-26,2022-05-26,0 days,WOMEN RP1
321,Pietro AZZOLINI,3.0,2023-05-18,2023-06-24,37 days,MEN RP3
322,Rachel MAIA,7.0,2018-09-16,2023-08-10,1789 days,WOMEN RP2
323,Radu-pintea HOJDA,2.0,2021-06-24,2021-07-15,21 days,MEN RP3
324,Raphael NISHIMURA,2.0,2012-09-16,2014-09-14,728 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
325,Raul SIMON FRANCO,18.0,2015-07-11,2023-08-10,2952 days,MEN B2
326,Raveena ALLI,2.0,2022-05-26,2023-08-10,441 days,WOMEN B1
327,Razvan NEDU,17.0,2016-09-18,2023-08-10,2517 days,MEN B2
328,Rebecca LEVENBERG,1.0,2018-09-16,2018-09-16,0 days,WOMEN AL-2
329,Renske NUGTER,7.0,2012-09-16,2019-07-17,2495 days,WOMEN PHYSICAL DISABILITY
330,Ria GRINDEL,4.0,2022-06-22,2023-08-10,414 days,WOMEN RP3
331,Ricardo PÉREZ AMADO,4.0,2011-07-18,2015-10-04,1539 days,MEN B3
332,Richard SLOCOCK,9.0,2018-07-18,2023-08-10,1849 days,MEN B2
333,Robert Andrei AL-RADI,3.0,2021-07-15,2022-07-09,359 days,MEN B3
334,Roland KÖCHL,3.0,2017-07-09,2021-06-24,1446 days,MEN B2
335,Romain PAGNOUX,5.0,2016-09-18,2021-09-17,1825 days,MEN RP3
